======================================== HEX 11 ========================================

### 六爻進程

--- general ---
ID: hex-017-line-1-general
Meaning: 官有渝貞吉出門交有功揭示跟隨的起始智慧：角色地位會隨所跟對象而改變，但只要你持守正道便得吉祥。初九陽爻處於隨卦最底層，你的跟隨尚未形成實質依附關係，此刻最有力量的是意識到自己有選擇跟誰的自由——出門與外界真誠交流會產生意想不到的成果，因為門外的世界不受原有框架限制。隨卦核心在於誰走前面我走後面的動態選擇，而非被動盲從。震下兌上的結構表示內在行動力配合外在愉悅溝通，先出門才能找到值得跟隨的路。
Advice: 先確認自己目前跟隨的對象或方向是否真的與你內心價值觀一致而非只因熟悉或預設才持續。在接下來一週內刻意接觸三個不在你日常圈層的人或資訊來源，記錄他們帶給你的新視角。不急於宣布你要改變跟隨對象或方向，先在門外交互中觀察哪些人展現了你希望自己未來成為的樣子。
Warning: 最危險的陷阱是把出門交有功誤解為不斷換跟隨對象的遊牧心態——每次遇到新刺激就轉向最終一事無成。另一風險是將角色變化（即官有渝）解讀為必須放棄原有身份，實則是角色在跟隨過程中自然演化而非徹底否定過去。
Basis: ["官有渝貞吉出門交有功","隨卦震下兌上","初九陽爻","跟隨對象的自覺選擇","門外交互拓展視野"]
ScoreAdjust: {"clarity":5,"action":2,"risk":1,"change":4,"support":2,"timing":2}
QualityLevel: gold
Reviewed: true
ReviewedBy: line-category-gold-wave-05
ReviewedAt: 2026-07-14

ID: hex-017-line-2-general
Meaning: 係小子失丈夫是隨卦中最尖銳的選擇隱喻：你因為繫念依附於眼前微小而確定的對象（小子），而錯失了真正宏大而有深遠價值的對象（丈夫）。這不是簡單的小大之別而是依附對象的品質之選——小子的吸引力在於它近在眼前可立即掌握、需求簡單不需你付出太多調整，但它不會引導你走向丈夫層次的人生格局。六二陰爻居中正之位卻因陰柔本質而傾向就近依附安全選項，忘記了跟隨的本質是讓自己被值得的對象提升而非被瑣事消磨。
Advice: 誠實地列出目前佔據你最多時間與注意力的三件事或三個人——然後問自己：其中哪些是在削減你走向更大目標的能量而非支持你前進？若你發現花了大量時間維護一段只給你短期慰藉但長期消耗的關係或習慣則應立即縮減對它的投入，把釋出的能量轉移到至少一個具有丈夫品質的對象上。
Warning: 最致命的陷阱是你已經很清楚什麼對象只是小子但因為害怕空窗期而不敢切斷依附——你安慰自己至少還有這個，說服自己不要冒險追求丈夫。這種自我保護機制會讓你在五年後回望時發現自己原地踏步而原本可能的丈夫早已被他人跟隨。
Basis: ["係小子失丈夫","隨卦依附品質之選","六二陰爻","小子近利與丈夫遠見","切斷消耗性依附的勇氣"]
ScoreAdjust: {"clarity":5,"action":3,"risk":2,"change":4,"support":1,"timing":2}
QualityLevel: gold
Reviewed: true
ReviewedBy: line-category-gold-wave-05
ReviewedAt: 2026-07-14

ID: hex-017-line-3-general
Meaning: 係丈夫失小子隨有求得利居貞是隨卦的意志轉折點——你主動選擇放掉身邊那些微小但確定的好處（小子），把心力全然投向那個值得你長期跟隨的對象或原則（丈夫）。六三陰爻位不中不正本該是最動盪的位置，卻因為做出了丈夫級的選擇而反轉為穩定根基的契機。隨有求得揭示了一個深刻的真相：當你真正專一地跟隨了一個值得的對象，那些你原本擔心失去的小子級資源其實會以另一種形式回流到你的生命中。利居貞是最重要的後半句——得到跟隨的好處後仍要保持節制與正道不可因獲得而變得貪婪。
